Time,sensor_hu.mean,Time.1,sensor_mo.mean,Time.2,sensor_te.mean,test_attendance,Month,Year,Extracted_Time,WeekDay,TimeOfDay,Semester
2/20/2024 14:00,63.5,2/20/2024 14:00,0,2/20/2024 14:00,23.0,0,2,2024,14:00,1,1,2
2/20/2024 14:05,63.5,2/20/2024 14:05,0,2/20/2024 14:05,23.0,1,2,2024,14:05,1,1,2
2/20/2024 14:10,63.5,2/20/2024 14:10,1,2/20/2024 14:10,23.0,0,2,2024,14:10,1,1,2
2/20/2024 14:15,63.5,2/20/2024 14:15,1,2/20/2024 14:15,22.5,1,2,2024,14:15,1,1,2
2/20/2024 14:20,63.5,2/20/2024 14:20,1,2/20/2024 14:20,22.5,1,2,2024,14:20,1,1,2
2/20/2024 14:25,63.5,2/20/2024 14:25,1,2/20/2024 14:25,22.5,0,2,2024,14:25,1,1,2
2/20/2024 14:30,64.0,2/20/2024 14:30,0,2/20/2024 14:30,22.5,0,2,2024,14:30,1,1,2
2/20/2024 14:35,64.0,2/20/2024 14:35,1,2/20/2024 14:35,23.0,0,2,2024,14:35,1,1,2
2/20/2024 14:40,63.5,2/20/2024 14:40,1,2/20/2024 14:40,23.0,0,2,2024,14:40,1,1,2
2/20/2024 14:45,63.5,2/20/2024 14:45,1,2/20/2024 14:45,23.0,0,2,2024,14:45,1,1,2
2/20/2024 14:50,63.0,2/20/2024 14:50,1,2/20/2024 14:50,23.0,0,2,2024,14:50,1,1,2
2/20/2024 14:55,63.0,2/20/2024 14:55,1,2/20/2024 14:55,23.0,0,2,2024,14:55,1,1,2
2/20/2024 15:00,63.0,2/20/2024 15:00,0,2/20/2024 15:00,23.0,1,2,2024,15:00,1,1,2
2/20/2024 15:05,63.0,2/20/2024 15:05,0,2/20/2024 15:05,23.0,0,2,2024,15:05,1,1,2
2/20/2024 15:10,63.5,2/20/2024 15:10,1,2/20/2024 15:10,23.5,1,2,2024,15:10,1,1,2
2/20/2024 15:15,63.5,2/20/2024 15:15,1,2/20/2024 15:15,23.5,1,2,2024,15:15,1,1,2
2/20/2024 15:20,63.0,2/20/2024 15:20,0,2/20/2024 15:20,23.0,0,2,2024,15:20,1,1,2
2/20/2024 15:25,63.0,2/20/2024 15:25,1,2/20/2024 15:25,23.0,0,2,2024,15:25,1,1,2
2/20/2024 15:30,63.0,2/20/2024 15:30,1,2/20/2024 15:30,23.0,1,2,2024,15:30,1,1,2
2/20/2024 15:35,63.0,2/20/2024 15:35,1,2/20/2024 15:35,23.0,0,2,2024,15:35,1,1,2
2/20/2024 15:40,63.0,2/20/2024 15:40,1,2/20/2024 15:40,23.0,1,2,2024,15:40,1,1,2
2/20/2024 15:45,63.0,2/20/2024 15:45,1,2/20/2024 15:45,23.0,0,2,2024,15:45,1,1,2
2/20/2024 15:50,63.0,2/20/2024 15:50,1,2/20/2024 15:50,23.0,0,2,2024,15:50,1,1,2
2/20/2024 15:55,62.5,2/20/2024 15:55,1,2/20/2024 15:55,22.5,1,2,2024,15:55,1,1,2
2/20/2024 16:00,62.5,2/20/2024 16:00,0,2/20/2024 16:00,22.5,1,2,2024,16:00,1,1,2
2/20/2024 16:05,62.5,2/20/2024 16:05,0,2/20/2024 16:05,22.0,0,2,2024,16:05,1,1,2
2/20/2024 16:10,62.0,2/20/2024 16:10,0,2/20/2024 16:10,22.0,1,2,2024,16:10,1,1,2
2/20/2024 16:15,62.0,2/20/2024 16:15,1,2/20/2024 16:15,21.5,1,2,2024,16:15,1,1,2
2/20/2024 16:20,62.0,2/20/2024 16:20,1,2/20/2024 16:20,21.5,1,2,2024,16:20,1,1,2
2/20/2024 16:25,62.0,2/20/2024 16:25,1,2/20/2024 16:25,21.5,0,2,2024,16:25,1,1,2
2/20/2024 16:30,62.5,2/20/2024 16:30,1,2/20/2024 16:30,21.5,1,2,2024,16:30,1,1,2
2/20/2024 16:35,62.5,2/20/2024 16:35,1,2/20/2024 16:35,21.5,1,2,2024,16:35,1,1,2
2/20/2024 16:40,62.5,2/20/2024 16:40,1,2/20/2024 16:40,21.5,1,2,2024,16:40,1,1,2
2/20/2024 16:45,62.5,2/20/2024 16:45,1,2/20/2024 16:45,21.5,0,2,2024,16:45,1,1,2
2/20/2024 16:50,62.5,2/20/2024 16:50,1,2/20/2024 16:50,21.5,0,2,2024,16:50,1,1,2
2/20/2024 16:55,62.5,2/20/2024 16:55,0,2/20/2024 16:55,21.5,0,2,2024,16:55,1,1,2
2/20/2024 17:00,62.5,2/20/2024 17:00,1,2/20/2024 17:00,22.0,0,2,2024,17:00,1,2,2
2/20/2024 17:05,62.0,2/20/2024 17:05,1,2/20/2024 17:05,22.0,1,2,2024,17:05,1,2,2
2/20/2024 17:10,62.0,2/20/2024 17:10,1,2/20/2024 17:10,22.0,1,2,2024,17:10,1,2,2
2/20/2024 17:15,62.0,2/20/2024 17:15,1,2/20/2024 17:15,22.0,1,2,2024,17:15,1,2,2
2/20/2024 17:20,62.0,2/20/2024 17:20,1,2/20/2024 17:20,21.5,1,2,2024,17:20,1,2,2
2/20/2024 17:25,61.5,2/20/2024 17:25,1,2/20/2024 17:25,21.5,0,2,2024,17:25,1,2,2
2/20/2024 17:30,61.5,2/20/2024 17:30,1,2/20/2024 17:30,21.5,1,2,2024,17:30,1,2,2
2/20/2024 17:35,61.5,2/20/2024 17:35,1,2/20/2024 17:35,21.5,0,2,2024,17:35,1,2,2
2/20/2024 17:40,61.5,2/20/2024 17:40,1,2/20/2024 17:40,21.0,0,2,2024,17:40,1,2,2
2/20/2024 17:45,61.5,2/20/2024 17:45,1,2/20/2024 17:45,21.0,0,2,2024,17:45,1,2,2
2/20/2024 17:50,61.5,2/20/2024 17:50,1,2/20/2024 17:50,21.0,0,2,2024,17:50,1,2,2
2/20/2024 17:55,61.0,2/20/2024 17:55,0,2/20/2024 17:55,21.0,1,2,2024,17:55,1,2,2
2/20/2024 18:00,61.0,2/20/2024 18:00,0,2/20/2024 18:00,21.0,1,2,2024,18:00,1,2,2
