Time,sensor_hu.mean,sensor_mo.mean,sensor_te.mean,test_attendance,Month,Year,Extracted_Time,WeekDay,TimeOfDay,Semester,User_sensor_mo.mean
2/20/2024 9:00,62.5,0,22.0,0,2,2024,09:00,1,0,2,0.0
2/20/2024 9:05,63.0,0,22.5,1,2,2024,09:05,1,0,2,0.0
2/20/2024 9:10,63.0,0,22.5,0,2,2024,09:10,1,0,2,1.0
2/20/2024 9:15,63.0,1,23.0,1,2,2024,09:15,1,0,2,1.0
2/20/2024 9:20,63.0,1,23.0,1,2,2024,09:20,1,0,2,1.0
2/20/2024 9:25,63.0,1,23.0,0,2,2024,09:25,1,0,2,1.0
2/20/2024 9:30,63.0,1,23.0,0,2,2024,09:30,1,0,2,1.0
2/20/2024 9:35,63.0,0,22.5,0,2,2024,09:35,1,0,2,0.0
2/20/2024 9:40,63.0,1,22.5,0,2,2024,09:40,1,0,2,1.0
2/20/2024 9:45,63.0,1,22.5,0,2,2024,09:45,1,0,2,1.0
2/20/2024 9:50,63.0,1,23.0,0,2,2024,09:50,1,0,2,1.0
2/20/2024 9:55,63.5,1,23.5,0,2,2024,09:55,1,0,2,1.0
2/20/2024 10:00,63.5,1,23.5,1,2,2024,10:00,1,0,2,0.0
2/20/2024 10:05,63.5,0,23.5,0,2,2024,10:05,1,0,2,0.0
2/20/2024 10:10,63.0,1,23.5,1,2,2024,10:10,1,0,2,1.0
2/20/2024 10:15,63.0,1,23.0,1,2,2024,10:15,1,0,2,1.0
2/20/2024 10:20,63.0,1,23.0,0,2,2024,10:20,1,0,2,1.0
2/20/2024 10:25,63.0,1,23.0,0,2,2024,10:25,1,0,2,1.0
2/20/2024 10:30,63.0,1,22.5,1,2,2024,10:30,1,0,2,1.0
2/20/2024 10:35,63.0,1,22.5,0,2,2024,10:35,1,0,2,1.0
2/20/2024 10:40,62.5,1,22.0,1,2,2024,10:40,1,0,2,1.0
2/20/2024 10:45,62.5,0,22.0,0,2,2024,10:45,1,0,2,1.0
2/20/2024 10:50,62.5,1,22.5,0,2,2024,10:50,1,0,2,1.0
2/20/2024 10:55,62.5,1,22.5,1,2,2024,10:55,1,0,2,1.0
2/20/2024 11:00,62.5,1,22.5,1,2,2024,11:00,1,0,2,1.0
2/20/2024 11:05,62.0,1,22.0,0,2,2024,11:05,1,0,2,1.0
2/20/2024 11:10,62.0,1,22.0,1,2,2024,11:10,1,0,2,1.0
2/20/2024 11:15,62.0,1,22.0,1,2,2024,11:15,1,0,2,1.0
2/20/2024 11:20,62.0,1,22.5,1,2,2024,11:20,1,0,2,0.0
2/20/2024 11:25,62.0,1,22.5,0,2,2024,11:25,1,0,2,1.0
2/20/2024 11:30,62.0,0,22.0,1,2,2024,11:30,1,0,2,1.0
2/20/2024 11:35,62.0,1,22.0,1,2,2024,11:35,1,0,2,1.0
2/20/2024 11:40,62.0,1,22.0,1,2,2024,11:40,1,0,2,1.0
2/20/2024 11:45,62.0,1,22.5,0,2,2024,11:45,1,0,2,1.0
2/20/2024 11:50,62.0,1,22.5,0,2,2024,11:50,1,0,2,1.0
2/20/2024 11:55,62.0,1,22.5,0,2,2024,11:55,1,0,2,0.0
2/20/2024 12:00,62.0,1,22.5,0,2,2024,12:00,1,1,2,0.0
2/20/2024 12:05,62.0,1,22.5,1,2,2024,12:05,1,1,2,1.0
2/20/2024 12:10,62.0,1,22.5,1,2,2024,12:10,1,1,2,1.0
2/20/2024 12:20,62.5,1,22.0,1,2,2024,12:20,1,1,2,1.0
2/20/2024 12:25,62.5,1,22.0,1,2,2024,12:25,1,1,2,1.0
2/20/2024 12:30,62.5,1,22.0,0,2,2024,12:30,1,1,2,1.0
2/20/2024 12:35,62.5,1,22.5,1,2,2024,12:35,1,1,2,1.0
2/20/2024 12:40,62.5,1,22.5,0,2,2024,12:40,1,1,2,1.0
2/20/2024 12:45,62.5,1,22.5,0,2,2024,12:45,1,1,2,1.0
2/20/2024 12:50,62.5,1,22.5,0,2,2024,12:50,1,1,2,1.0
2/20/2024 12:55,63.0,1,22.5,0,2,2024,12:55,1,1,2,0.0
2/20/2024 13:00,63.0,0,23.0,1,2,2024,13:00,1,1,2,0.0
2/20/2024 14:00,63.5,0,23.0,0,2,2024,14:00,1,1,2,
2/20/2024 14:05,63.5,0,23.0,1,2,2024,14:05,1,1,2,
2/20/2024 14:10,63.5,1,23.0,0,2,2024,14:10,1,1,2,
